Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1188,"T Schmader","Gender identification moderates stereotype threat effects on women's math performance",2002,"Journal of experimental social psychology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022103101915008","https://scholar.google.com/scholar?cites=4816326350241418279&as_sdt=2005&sciodt=2007&hl=en",11,"2024-02-02 13:42:11","","","","",,,,,1188,54.00,1188,1,22,"… identity) moderated the effects of gender identity relevance on women’s (but not men’s) math performance. When their gender identity … higher levels of gender identification performed …","","https://scholar.google.com/scholar?q=related:J0x-LEwH10IJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2784,"LM Alcoff","Visible identities: Race, gender, and the self",2005,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=Qe4M0nHXDhQC&oi=fnd&pg=PR17&dq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&ots=oHEmK8JT6z&sig=R8hebqqdW2Q5piZyExCa6aQWRVw","https://scholar.google.com/scholar?cites=14425282396994889371&as_sdt=2005&sciodt=2007&hl=en",12,"2024-02-02 13:42:11","BOOK","","","",,,,,2784,146.53,2784,1,19,"… Against the critics of identity politics and those who see the attachment to identity as a political problem, psychological crutch, or metaphysical mistake, this book offers a sustained …","http://ndl.ethernet.edu.et/bitstream/123456789/47230/1/65.pdf","https://scholar.google.com/scholar?q=related:m2aTYenlMMgJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
12204,"J Butler","Performative acts and gender constitution: An essay in phenomenology and feminist theory",2020,"Feminist theory reader","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781003001201-42/performative-acts-gender-constitution-judith-butler","https://scholar.google.com/scholar?cites=13791795633870261064&as_sdt=2005&sciodt=2007&hl=en",13,"2024-02-02 13:42:11","","10.4324/9781003001201-42","","",,,,,12204,3051.00,12204,1,4,"… a binary restriction on gender identity and an implicitly heterosexual framework for the description of gender, gender identity… , there is nothing about a binary gender system that is given. …","https://web.stanford.edu/~eckert/Courses/l1562018/Readings/Butler1988.pdf","https://scholar.google.com/scholar?q=related:SMuekw5NZr8J:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1423,"M Bertrand, E Kamenica, J Pan","Gender identity and relative income within households",2015,"The Quarterly Journal of …","academic.oup.com","https://academic.oup.com/qje/article-abstract/130/2/571/2330321","https://scholar.google.com/scholar?cites=16244956881362648093&as_sdt=2005&sciodt=2007&hl=en",14,"2024-02-02 13:42:11","","","","",,,,,1423,158.11,474,3,9,"… We argue that this pattern is best explained by gender identity norms, which induce an aversion to a situation where the wife earns more than her husband. We present evidence that …","https://www.nber.org/system/files/working_papers/w19023/w19023.pdf","https://scholar.google.com/scholar?q=related:HXwo0TauceEJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1317,"AM Manago, MB Graham, PM Greenfield…","Self-presentation and gender on MySpace",2008,"Journal of Applied …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0193397308000749","https://scholar.google.com/scholar?cites=9894566891481356799&as_sdt=2005&sciodt=2007&hl=en",15,"2024-02-02 13:42:11","","","","",,,,,1317,82.31,329,4,16,"… through relationships (social identity), and gendered self-presentation (gender identity). The … The kappa for personal identity was .88, for social identity .90, and for gender identity .94. …","https://escholarship.org/content/qt4317m6v2/qt4317m6v2.pdf","https://scholar.google.com/scholar?q=related:_1kWBSqQUIkJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1399,"AI Lev","Transgender emergence: Therapeutic guidelines for working with gender-variant people and their families",2013,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=mwYsBgAAQBAJ&oi=fnd&pg=PR3&dq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&ots=iUgC8RTy8t&sig=qiQNnN2qH036_ddKKgYIFxlUFf8","https://scholar.google.com/scholar?cites=36601316052187906&as_sdt=2005&sciodt=2007&hl=en",16,"2024-02-02 13:42:11","BOOK","","","",,,,,1399,127.18,1399,1,11,"… in issues related to sexual and gender identity, as well as trauma … of the spectrum, the term transgendered includes all gender-… ” of a dimorphic and binary system of sex and gender is a …","","https://scholar.google.com/scholar?q=related:Ajua-bMIggAJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1981,"L McNay","Gender and agency: Reconfiguring the subject in feminist and social theory",2013,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=EfAdAAAAQBAJ&oi=fnd&pg=PA1981&dq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&ots=VjqqpykaI3&sig=_883ZNqHqWCtL8vDgBWh9v56Trs","https://scholar.google.com/scholar?cites=7599056215954717180&as_sdt=2005&sciodt=2007&hl=en",17,"2024-02-02 13:42:11","BOOK","","","",,,,,1981,180.09,1981,1,11,"… gender identity is a durable but not immutable phenomenon. The conceptualization of gender identity … terms of the inherent instability of gender norms and the consequent possibilities …","","https://scholar.google.com/scholar?q=related:_Hk07F1FdWkJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
2519,"DN Ruble, CL Martin…","Gender development",2007,"Handbook of child …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/9780470147658.chpsy0314","https://scholar.google.com/scholar?cites=5525787538182499774&as_sdt=2005&sciodt=2007&hl=en",18,"2024-02-02 13:42:11","","10.1002/9780470147658.chpsy0314","","",,,,,2519,148.18,840,3,17,"… the developmental processes involved in sustaining this gender system. In the first section, … gender using a multidimensional matrix that contains four constructs (concepts/beliefs, identity…","","https://scholar.google.com/scholar?q=related:vu2lNX2Kr0wJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
3560,"A Oakley","Sex, gender and society",2016,"","taylorfrancis.com","https://www.taylorfrancis.com/books/mono/10.4324/9781315243399/sex-gender-society-ann-oakley","https://scholar.google.com/scholar?cites=3896078841334287314&as_sdt=2005&sciodt=2007&hl=en",19,"2024-02-02 13:42:11","BOOK","10.4324/9781315243399","","",,,,,3560,445.00,3560,1,8,"… of identity’ referring to people whose gender identity does not match the assumed gender … institutionalisation of the binary model – female sex, male sex, feminine gender, masculine …","","https://scholar.google.com/scholar?q=related:0kulWhCnETYJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
1217,"HM Lips","Sex and gender: An introduction",2020,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=xgjaDwAAQBAJ&oi=fnd&pg=PR1&dq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&ots=WqmUylGj_3&sig=WbXZOtJe-pVn560uenmjV3xdsnM","https://scholar.google.com/scholar?cites=1566006657493840527&as_sdt=2005&sciodt=2007&hl=en",20,"2024-02-02 13:42:11","BOOK","","","",,,,,1217,304.25,1217,1,4,"… are somewhere on a spectrum between the two … gender identity in more detail in Chapter 5, but for now, it is important to acknowledge that gender is more complicated than a binary …","","https://scholar.google.com/scholar?q=related:jzLRB8KSuxUJ:scholar.google.com/&scioq=gender+binary%7Cgender+binary%7Cgender+binary%7Cgender+spectrum%7Cgender+spectrum%7Cgender+spectrum&hl=en&as_sdt=2007&as_ylo=1998&as_yhi=2023"
